NOMBRE;TIPO;DIFICULTAD;TIEMPO;REPETICIONES;SERIES;DESCRIPCION
Flexiones de brazos;Tren superior;DIFICIL;30;15;3;Apoyate en el suelo boca abajo, apoya las manos a la altura de los hombros pero pegadas tocando los pulgares, levanta todo el cuerpo rigido en posicion de tabla, apoyate en las puntas de los pies y manos, flexiona los brazos.
Abdominales;Zona media;MEDIO;50;25;3;Acostado boca arriba y eleva rodillas apoyando pies, posiciona tus brazos cruzados sobre tu pecho y eleva solo el tronco hasta alcanzar 60 grados de inclinacion entre tu torso y el suelo, vuelve al piso y repite.
Elevacion invertida;Tren superior;PRINCIPIANTE;20;10;2;Sientate y apoya tus antebrazos al costado, eleva tronco apoyandote en codos y pies, baja y repite.
Abdominales;Zona media;DIFICIL;60;30;3;Acostado boca arriba y eleva rodillas apoyando pies, posiciona tus brazos detrás de tu cabeza con los codos a los lados y eleva el torso al mismo tiempo que llevas una rodilla hacia ti hasta tocarla con tu codo contrario, vuelve al piso y repite con la otra rodilla.
Plancha lateral;Zona media;PRINCIPIANTE;30;2;2;Acostado de costado sobre el suelo, apoya tu antebrazo a la altura de tu hombro y eleva tu cuerpo lateralmente de forma recta apoyandote en tus pies y antebrazo. Manten esta posicion por el tiempo indicado realizando una repeticion por lado.
Bicicleta;Zona media;DIFICIL;40;20;3;Acostado boca arriba pon tus manos en tu cabeza, eleva las piernas flexionadas unos 30cm del suelo sin tocarlo y lleva un codo a la rodilla contraria contrayendo el abdomen, vuelve a la posicion inicial y repite con la otra pierna y el codo contrario.
Flexiones de brazos;Tren superior;MEDIO;30;15;2;Apoyate en el suelo boca abajo, apoya las manos a la altura de los hombros manteniendo la distancia y levanta todo el cuerpo rigido en posicion de tabla, apoyate en las puntas de los pies y manos, flexiona los brazos.
Bicicleta;Zona media;PRINCIPIANTE;30;15;2;Acostado boca arriba pon tus manos en tu cabeza, eleva las piernas flexionadas unos 30cm del suelo sin tocarlo y lleva un codo a la rodilla contraria contrayendo el abdomen, vuelve a la posicion inicial y repite con la otra pierna y el codo contrario.
Plancha horizontal;Zona media;DIFICIL;80;1;1;Acostado boca arriba, apoya tus brazos a la altura de tus hombros manteniendo la misma distancia, eleva todo el cuerpo apoyandote en las manos y la punta de pies en forma de plancha, manten por el tiempo indicado.
Elevacion invertida;Tren superior;MEDIO;30;15;3;Sientate y apoya tus brazos al costado, eleva tronco apoyandote en manos y pies, baja y repite.
Zancadas;Tren inferior;MEDIO;50;25;2;De pie con las piernas separadas a la altura de las caderas, dar un paso adelante con una de las piernas y bajas flexionando ambas manteniendo el torso erguido. La pierna que va adelante debe tener un angulo de 90grados. Volver a la posicion inicial y repetir con la otra pierna.
Plancha horizontal;Zona media;PRINCIPIANTE;20;1;2;Acostado boca arriba, apoya tus antebrazos a la altura de tus hombros manteniendo la misma distancia y entrelazando tus manos en forma de punno, eleva todo el cuerpo apoyandote en los brazoss y la punta de pies en forma de plancha, manten por el tiempo indicado.
Crunch;Zona media;PRINCIPIANTE;20;20;2;Acostado boca arriba, apoya los brazos estirado en el suelo y sube las piernas en posicion de la vela, balancealas en direccion a tu cabeza y luego vuelve a la vela. Repite las veces indicadas.
Elevacion de piernas;Zona media;MEDIO;30;1;2;Acostado boca arriba, apoya tus brazos cruzandolos sobre tu pecho, eleva solo tus piernas de forma vertical formando un angulo de 90grados con tu torso, subelos y bajalos juntos durante el tiempo indicado.
Crunch;Zona media;DIFICIL;40;40;3;Acostado boca arriba, apoya los brazos estirado en el suelo y sube las piernas en posicion de la vela, balancealas en direccion a tu cabeza y luego vuelve a la vela. Repite las veces indicadas.
Sentadillas;Tren inferior;PRINCIPIANTE;40;20;2;De pie mirando al frente separa las piernas a la altura de tus hombros y baja sin curvar tu espalda flexionando las rodillas hasta tocar con tu mano el suelo, repite.
Plancha lateral;Zona media;DIFICIL;60;2;2;Acostado de costado sobre el suelo, apoya tu brazo a la altura de tu hombro y eleva tu cuerpo lateralmente de forma recta apoyandote en tus pies y brazo estirado. Manten esta posicion por el tiempo indicado realizando una repeticion por lado.
Sentadillas;Tren inferior;DIFICIL;60;30;3;De pie mirando al frente separa las piernas a la altura de tus hombros, utiliza un objeto de 1kg en cada mano, luego baja flexionando las rodillas hasta bajar lo mas que puedas, repite.
Elevacion de pelvis;Tren inferior;PRINCIPIANTE;40;20;2;Recostado boca arriba, eleva tu tronco, trasero y rodillas sin despegar del suelo hombros ni pies. Manten los brazos estirados en el suelo y baja la pelvis, repite elevando la pelvia y luego la vuelves a bajar.
Comandos;Tren superior;DIFICIL;60;20;2;Acostado boca abajo, manten tu cuerpo en posicion rigido y recto, apoya la punta de pie en el suelo, comienza a elevarte solo con los brazos hasta tenerlos estirados como en posicion de plancha, luego baja y repite. Utiliza algun objeto pesado en tu cuerpo para aumentar la fuerza de elevacion.
Elevacion de pelvis;Tren inferior;DIFICIL;60;30;3;Recostado boca arriba, eleva tu tronco, trasero y rodillas sin despegar del suelo hombros ni pies. Manten los brazos estirados en el suelo y baja la pelvis, repite elevando la pelvia y luego la vuelves a bajar.
Superman;Tren superior;MEDIO;30;1;2;Acostado boca abajo, estira brazos y piernas lo mas que puedas elevandola sin levantar torso. Manten el tiempo indicado
Plancha lateral;Zona media;MEDIO;40;2;2;Acostado de costado sobre el suelo, apoya tu brazo a la altura de tu hombro y eleva tu cuerpo lateralmente de forma recta apoyandote en tus pies y brazo estirado. Manten esta posicion por el tiempo indicado realizando una repeticion por lado.
Elevacion de piernas;Zona media;PRINCIPIANTE;30;1;2;Acostado boca arriba, apoya tus brazos cruzandolos sobre tu pecho, eleva solo tus piernas y muevelas como la bicicleta flexionando y estirando las rodillas durante el tiempo indicado.
Zancadas;Tren inferior;PRINCIPIANTE;40;20;2;De pie con las piernas separadas a la altura de las caderas, dar un paso adelante con una de las piernas y bajas flexionando ambas manteniendo el torso erguido. La pierna que va adelante debe tener un angulo de 90grados. Volver a la posicion inicial y repetir con la otra pierna.
Elevacion de pelvis;Tren inferior;MEDIO;40;20;3;Recostado boca arriba, eleva tu tronco, trasero y rodillas sin despegar del suelo hombros ni pies. Manten los brazos estirados en el suelo y baja la pelvis, repite elevando la pelvia y luego la vuelves a bajar.
Zancadas;Tren inferior;DIFICIL;60;30;2;De pie con las piernas separadas a la altura de las caderas, dar un paso adelante con una de las piernas y bajas flexionando ambas manteniendo el torso erguido. La pierna que va adelante debe tener un angulo de 90grados. Volver a la posicion inicial y repetir con la otra pierna.
Plancha horizontal;Zona media;MEDIO;60;1;1;Acostado boca arriba, apoya tus brazos a la altura de tus hombros manteniendo la misma distancia, eleva todo el cuerpo apoyandote en las manos y la punta de pies en forma de plancha, manten por el tiempo indicado.
